edge_id,source_id,relation,target_id,evidence_ids,confidence,valid_from,valid_to,qualifiers_json,review_status
EDGE_000001,PLACE_000001,HAS_ADDRESS,ADDRESS_000001,EVD_000001,1.00,,,"{""source_relations"":[""has_address""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000002,PLACE_000001,LOCATED_IN,ADMIN_000001,EVD_000001,1.00,,,"{""source_relations"":[""located_in""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000003,PLACE_000001,LOCATED_IN,ADMIN_000002,EVD_000001,1.00,,,"{""source_relations"":[""located_in""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000004,PLACE_000001,HAS_CATEGORY,CATEGORY_000001,EVD_000001,0.95,,,"{""source_relations"":[""has_category""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000005,PLACE_000001,HAS_CATEGORY,CATEGORY_000002,EVD_000005|EVD_000025,0.95,,,"{""source_relations"":[""has_category""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000006,PLACE_000001,HAS_MEASUREMENT,VALUE_000002,EVD_000002|EVD_000006,1.00,,,"{""source_relations"":[""has_measurement""],""source_datasets"":[""hoang_thanh_thang_long""],""measurement_type"":""area"",""approximate"":true,""measurement_kind"":""area""}",approved
EDGE_000007,PLACE_000001,HAS_MEASUREMENT,VALUE_000003,EVD_000006,1.00,,,"{""source_relations"":[""has_measurement""],""source_datasets"":[""hoang_thanh_thang_long""],""measurement_type"":""buffer_area"",""measurement_kind"":""buffer_area""}",approved
EDGE_000008,PLACE_000001,HAS_COMPONENT,ARCH_000001,EVD_000002|EVD_000012,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000009,PLACE_000001,HAS_COMPONENT,ARCH_000002,EVD_000002|EVD_000024,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000010,PLACE_000001,HAS_COMPONENT,ARCH_000003,EVD_000002|EVD_000013,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000011,PLACE_000001,HAS_COMPONENT,ARCH_000004,EVD_000002|EVD_000008,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000012,PLACE_000001,HAS_COMPONENT,ARCHSITE_000001,EVD_000002|EVD_000005|EVD_000025,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000013,PLACE_000001,HAS_COMPONENT,PLACE_000003,EVD_000002|EVD_000023,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000014,PLACE_000001,HAS_COMPONENT,ARCH_000005,EVD_000017,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000015,PLACE_000001,HAS_COMPONENT,ARCH_000006,EVD_000017,1.00,,,"{""source_relations"":[""has_component""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000016,PLACE_000001,RECOGNIZED_AS,HSTATUS_000001,EVD_000003|EVD_000006,1.00,2010-07-31,,"{""source_relations"":[""recognized_as""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000017,PLACE_000001,RECOGNIZED_BY,ORG_000001,EVD_000003|EVD_000006,1.00,2010-07-31,,"{""source_relations"":[""recognized_by""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000018,PLACE_000001,RECOGNIZED_IN,TIME_000001,EVD_000003|EVD_000006,1.00,,,"{""source_relations"":[""recognized_in""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
EDGE_000019,PLACE_000001,BUILT_IN,TIME_000002,EVD_000004,1.00,,,"{""source_relations"":[""built_in""],""source_datasets"":[""hoang_thanh_thang_long""]}",approved
