node_id,canonical_name,type,admin_level,aliases,normalized_key,numeric_value,unit,value_kind,review_status
PLACE_000001,Hoàng thành Thăng Long,Place,,Khu Trung tâm Hoàng thành Thăng Long – Hà Nội|Hoàng thành Thăng Long – Hà Nội,hoang_thanh_thang_long,,,,approved
PLACE_000003,Cột cờ Hà Nội,Place,,Kỳ đài Hà Nội,cot_co_ha_noi,,,,approved
ADDRESS_000001,"Số 19C Hoàng Diệu, phường Ba Đình, thành phố Hà Nội",Address,,,so_19c_hoang_dieu_phuong_ba_dinh_thanh_pho_ha_noi,,,,approved
ADMIN_000001,Phường Ba Đình,AdministrativeArea,ward,,phuong_ba_dinh,,,,approved
ADMIN_000002,Thành phố Hà Nội,AdministrativeArea,city,Hà Nội,thanh_pho_ha_noi,,,,approved
ARCH_000001,Đoan Môn,Architecture,,Cửa Đoan Môn,doan_mon,,,,approved
ARCH_000002,Bắc Môn,Architecture,,Cửa Bắc|Cửa Bắc Môn,bac_mon,,,,approved
ARCH_000003,Hậu Lâu,Architecture,,Lầu Công chúa|Tĩnh Bắc Lâu|Lầu Tĩnh Bắc,hau_lau,,,,approved
ARCH_000004,Điện Kính Thiên,Architecture,,Nền điện Kính Thiên|Chính điện Kính Thiên,dien_kinh_thien,,,,approved
ARCH_000005,Nhà D67,Architecture,,Phòng họp Bộ Chính trị và Quân ủy Trung ương,nha_d67,,,,approved
ARCH_000006,Hầm D67,Architecture,,Hầm Quân ủy Trung ương,ham_d67,,,,approved
ARCH_000007,Thềm Rồng Điện Kính Thiên,Architecture,,Thềm đá Điện Kính Thiên,them_rong_dien_kinh_thien,,,,approved
ARCHSITE_000001,Khu khảo cổ 18 Hoàng Diệu,ArchaeologicalSite,,Khu khảo cổ học 18 Hoàng Diệu|Di chỉ 18 Hoàng Diệu,khu_khao_co_18_hoang_dieu,,,,approved
HOBJ_000001,Rồng đá Điện Kính Thiên,HeritageObject,,Rồng đá Thềm Rồng,rong_da_dien_kinh_thien,,,,approved
HOBJ_000002,Nhóm di vật thời Đại La tại 18 Hoàng Diệu,HeritageObject,,Di vật Tiền Thăng Long,nhom_di_vat_thoi_dai_la_18_hoang_dieu,,,,approved
HOBJ_000003,Nhóm di vật thời Lý – Trần tại 18 Hoàng Diệu,HeritageObject,,Di vật Lý – Trần,nhom_di_vat_ly_tran_18_hoang_dieu,,,,approved
HOBJ_000004,Nhóm di vật thời Lê tại 18 Hoàng Diệu,HeritageObject,,Di vật thời Lê,nhom_di_vat_thoi_le_18_hoang_dieu,,,,approved
VALUE_000002,"Khoảng 18,395 ha",Value,,,khoang_18_395_ha,18.395,ha,area,approved
VALUE_000003,108 ha,Value,,,108_ha,108,ha,buffer_area,approved
VALUE_000004,Khoảng 57 m,Value,,,khoang_57_m,57,m,length,approved
VALUE_000005,"41,5 m",Value,,,41_5_m,41.5,m,width,approved
VALUE_000006,"Khoảng 2,3 m",Value,,,khoang_2_3_m,2.3,m,height,approved
VALUE_000007,10 bậc,Value,,,10_bac,10,bậc,step_count,approved
VALUE_000008,"33,4 m",Value,,,33_4_m,33.4,m,height,approved
VALUE_000009,9 m,Value,,,9_m,9,m,depth,approved
VALUE_000010,"0,6 m",Value,,,0_6_m,0.6,m,wall_thickness,approved
ORG_000001,UNESCO,Organization,,Tổ chức Giáo dục Khoa học và Văn hóa Liên Hợp Quốc,unesco,,,,approved
