edge_id,source_id,relation,target_id,evidence_ids,confidence,valid_from,valid_to,qualifiers_json,review_status
EDGE_001820,PLACE_000053,HAS_ADDRESS,ADDRESS_000042,EVD_000715,1.00,,,{},approved
EDGE_001821,PLACE_000053,BUILT_IN,TIME_000173,EVD_000716,1.00,,,{},approved
EDGE_001822,PLACE_000053,HAS_CATEGORY,CATEGORY_000020,EVD_000717,1.00,,,{},approved
EDGE_001823,PLACE_000053,HAS_CATEGORY,CATEGORY_000021,EVD_000717,1.00,,,{},approved
EDGE_001824,PLACE_000053,HAS_CATEGORY,CATEGORY_000022,EVD_000731,1.00,,,{},approved
EDGE_001825,PLACE_000053,HAS_MEASUREMENT,VALUE_000111,EVD_000718,1.00,,,"{""measurement_kind"":""area"",""approximate"":true}",approved
EDGE_001826,PLACE_000054,HAS_MEASUREMENT,VALUE_000112,EVD_000720,1.00,,,"{""measurement_kind"":""area"",""approximate"":true}",approved
EDGE_001827,PLACE_000056,HAS_MEASUREMENT,VALUE_000113,EVD_000721,1.00,,,"{""measurement_kind"":""area"",""approximate"":true}",approved
EDGE_001828,PLACE_000053,HAS_MEASUREMENT,VALUE_000114,EVD_000734,1.00,,,"{""measurement_kind"":""count""}",approved
EDGE_001829,PLACE_000053,HAS_COMPONENT,PLACE_000054,EVD_000719,1.00,,,{},approved
EDGE_001830,PLACE_000054,HAS_COMPONENT,PLACE_000055,EVD_000719,1.00,,,{},approved
EDGE_001831,PLACE_000054,HAS_COMPONENT,PLACE_000056,EVD_000719,1.00,,,{},approved
EDGE_001832,PLACE_000053,HAS_COMPONENT,ARCH_000343,EVD_000721,0.95,,,{},approved
EDGE_001833,PLACE_000053,HAS_COMPONENT,ARCH_000345,EVD_000722,1.00,,,{},approved
EDGE_001834,PLACE_000053,HAS_COMPONENT,ARCH_000346,EVD_000722|EVD_000726,1.00,,,{},approved
EDGE_001835,PLACE_000053,HAS_COMPONENT,ARCH_000347,EVD_000722|EVD_000725,1.00,,,{},approved
EDGE_001836,PLACE_000053,HAS_COMPONENT,HOBJ_000153,EVD_000729,1.00,,,{},approved
EDGE_001837,PLACE_000053,HAS_COMPONENT,ARCH_000348,EVD_000732|EVD_000733,0.90,,,{},approved
EDGE_001838,PLACE_000056,HAS_COMPONENT,ARCH_000344,EVD_000730,1.00,,,{},approved
EDGE_001839,PLACE_000053,HAS_ACTIVITY,ACTIVITY_000068,EVD_000723,1.00,,,{},approved
EDGE_001840,PLACE_000053,HAS_ACTIVITY,ACTIVITY_000069,EVD_000723,1.00,,,{},approved
EDGE_001841,PLACE_000053,HAS_ACTIVITY,ACTIVITY_000070,EVD_000723,1.00,,,{},approved
EDGE_001842,PLACE_000053,HAS_ACTIVITY,ACTIVITY_000071,EVD_000726,1.00,,,{},approved
EDGE_001843,PLACE_000055,USED_FOR,ACTIVITY_000068,EVD_000724,1.00,,,{},approved
EDGE_001844,PLACE_000055,USED_FOR,ACTIVITY_000070,EVD_000724,1.00,,,{},approved
EDGE_001845,ARCH_000347,USED_FOR,ACTIVITY_000069,EVD_000725,1.00,,,{},approved
EDGE_001846,ARCH_000347,USED_FOR,ACTIVITY_000068,EVD_000725,1.00,,,{},approved
EDGE_001847,ARCH_000346,USED_FOR,ACTIVITY_000071,EVD_000726,1.00,,,{},approved
EDGE_001848,PLACE_000053,HAS_EVENT,EVENT_000107,EVD_000727,1.00,,,{},approved
EDGE_001849,EVENT_000107,OCCURRED_IN,TIME_000174,EVD_000727,1.00,,,{},approved
EDGE_001850,PLACE_000053,HAS_EVENT,EVENT_000108,EVD_000728,1.00,,,{},approved
EDGE_001851,EVENT_000108,OCCURRED_IN,TIME_000175,EVD_000728,1.00,,,{},approved
EDGE_001852,EVENT_000108,INVOLVED_PERSON,PERSON_000024,EVD_000728,1.00,,,{},approved
EDGE_001853,PLACE_000053,HAS_EVENT,EVENT_000109,EVD_000731,1.00,,,{},approved
EDGE_001854,EVENT_000109,OCCURRED_IN,TIME_000176,EVD_000731,1.00,,,{},approved
EDGE_001855,PLACE_000053,HAS_EVENT,EVENT_000110,EVD_000732,1.00,,,{},approved
EDGE_001856,EVENT_000110,OCCURRED_IN,TIME_000177,EVD_000732,1.00,,,{},approved
EDGE_001857,PLACE_000053,RENOVATED_IN,TIME_000176,EVD_000731,0.95,,,{},approved
EDGE_001858,PLACE_000053,RENOVATED_IN,TIME_000177,EVD_000732,1.00,,,{},approved
EDGE_001859,ARCH_000348,BUILT_WITH,MATERIAL_000018,EVD_000733,1.00,,,{},approved
EDGE_001860,PLACE_000053,ASSOCIATED_WITH_PERSON,PERSON_000024,EVD_000729,1.00,,,{},approved
EDGE_001861,PLACE_000053,ASSOCIATED_WITH_PERSON,PERSON_000080,EVD_000736,0.90,,,{},approved
EDGE_001862,PERSON_000080,HELD_ROLE,ROLE_000010,EVD_000736,0.90,,,{},approved
EDGE_001863,PLACE_000053,MANAGED_BY,ORG_000031,EVD_000735,0.90,,,{},approved
EDGE_001864,ARCH_000344,HONORS,PERSON_000024,EVD_000730,1.00,,,{},approved
EDGE_001865,ARCH_000344,HONORS,PERSON_000079,EVD_000730,1.00,,,{},approved
