place_id,canonical_name,aliases,normalized_key,review_status
PLACE_000001,Hoàng thành Thăng Long,Khu Trung tâm Hoàng thành Thăng Long – Hà Nội|Hoàng thành Thăng Long – Hà Nội,hoang_thanh_thang_long,approved
PLACE_000002,Khu di tích Cổ Loa,Thành Cổ Loa|Cổ Loa|Khu di tích thành Cổ Loa,khu_di_tich_co_loa,approved
PLACE_000003,Cột cờ Hà Nội,Kỳ đài Hà Nội,cot_co_ha_noi,approved
PLACE_000004,Văn Miếu – Quốc Tử Giám,Văn Miếu - Quốc Tử Giám|Văn Miếu Quốc Tử Giám|Temple of Literature,van_mieu_quoc_tu_giam,approved
PLACE_000005,Di tích Nhà tù Hỏa Lò,Nhà tù Hỏa Lò|Hỏa Lò Prison Relic|Maison Centrale,di_tich_nha_tu_hoa_lo,approved
PLACE_000006,Di tích Gò Đống Đa,Gò Đống Đa|Công viên Văn hóa Đống Đa|Di tích quốc gia đặc biệt Gò Đống Đa,di_tich_go_dong_da,approved
PLACE_000007,Ô Quan Chưởng,Ô Đông Hà|Đông Hà Môn|Đông Hà môn|Ô Thanh Hà|Ô Cửa Đông,o_quan_chuong,approved
PLACE_000008,Tháp Rùa,Quy Sơn Tháp|Tháp Núi Rùa|Turtle Tower,thap_rua,approved
PLACE_000010,Khu di tích Chủ tịch Hồ Chí Minh tại Phủ Chủ tịch,Khu Di tích Phủ Chủ tịch|Khu lưu niệm Chủ tịch Hồ Chí Minh tại Phủ Chủ tịch,khu_di_tich_chu_tich_ho_chi_minh_tai_phu_chu_tich,approved
PLACE_000011,Lăng Chủ tịch Hồ Chí Minh,Lăng Bác|Lăng Hồ Chủ tịch|Ho Chi Minh Mausoleum,lang_chu_tich_ho_chi_minh,approved
PLACE_000012,Khu di tích K9 Đá Chông,Khu Di tích Chủ tịch Hồ Chí Minh tại Đá Chông|Khu căn cứ K9|Khu căn cứ K84|K9 Đá Chông,khu_di_tich_k9_da_chong,approved
PLACE_000013,Nhà số 48 Hàng Ngang,Di tích 48 Hàng Ngang|Ngôi nhà 48 Hàng Ngang,nha_so_48_hang_ngang,approved
PLACE_000014,Di tích cách mạng 5D Hàm Long,Nhà số 5D Hàm Long|Di tích nhà 5D phố Hàm Long,di_tich_cach_mang_5d_ham_long,approved
PLACE_000015,Thành cổ Sơn Tây,Thành Sơn Tây|Sơn Tây cổ thành,thanh_co_son_tay,approved
PLACE_000016,Đền Ngọc Sơn,Ngoc Son Temple,den_ngoc_son,approved
PLACE_000017,Chùa Một Cột,Chùa Mật|One Pillar Pagoda,chua_mot_cot,approved
PLACE_000018,Chùa Trấn Quốc,Trấn Quốc Tự|Chùa Khai Quốc|Chùa An Quốc|Chùa Trấn Bắc,chua_tran_quoc,approved
PLACE_000020,Đền Quán Thánh,Trấn Vũ Quán|Chân Vũ Quán|Đền Trấn Vũ|Đền Chân Vũ,den_quan_thanh,approved
PLACE_000021,Phủ Tây Hồ,,phu_tay_ho,approved
PLACE_000022,Nhà Thờ Lớn Hà Nội,Nhà thờ Chính Tòa Thánh Giu-se|Nhà thờ Chính tòa Hà Nội|St. Joseph's Cathedral Hanoi|Nhà thờ Thánh Giuse Hà Nội,nha_tho_lon_ha_noi,approved
