question_id,question_key,primary_place_id,graph_id,subject_node_id,question,answers_json,answer_node_ids_json,acceptable_answers_json,question_entity_ids_json,question_type,answer_type,hop_count,relation_path_json,reasoning_edge_ids_json,evidence_ids_json,source_ids_json,template_id,fact_group_id,generation_method,difficulty,review_status,review_note
HNQ_LS_PLACE_000001_ARCHSITE_000001_HAS_COMPONENT,HNQ_LS_PLACE_000001_ARCHSITE_000001_HAS_COMPONENT,PLACE_000001,PLACE_000001,ARCHSITE_000001,"Theo dữ liệu HanoiQA, Khu khảo cổ 18 Hoàng Diệu có những hạng mục nào?","[""Nhóm di vật thời Đại La tại 18 Hoàng Diệu"",""Nhóm di vật thời Lý – Trần tại 18 Hoàng Diệu"",""Nhóm di vật thời Lê tại 18 Hoàng Diệu""]","[""HOBJ_000002"",""HOBJ_000003"",""HOBJ_000004""]","[[""Nhóm di vật thời Đại La tại 18 Hoàng Diệu"",""Di vật Tiền Thăng Long""],[""Nhóm di vật thời Lý – Trần tại 18 Hoàng Diệu"",""Di vật Lý – Trần""],[""Nhóm di vật thời Lê tại 18 Hoàng Diệu"",""Di vật thời Lê""]]","[""ARCHSITE_000001""]",list,HeritageObject,1,"[""HAS_COMPONENT""]","[""EDGE_000054"",""EDGE_000055"",""EDGE_000056""]","[""EVD_000014"",""EVD_000015"",""EVD_000016""]","[""SRC_000009"",""SRC_000010"",""SRC_000011""]",T_LS_HAS_COMPONENT,FACT_HNQ_LS_PLACE_000001_ARCHSITE_000001_HAS_COMPONENT,template,easy,approved,
HNQ_LS_PLACE_000001_ARCHSITE_000001_HAS_CULTURAL_LAYER,HNQ_LS_PLACE_000001_ARCHSITE_000001_HAS_CULTURAL_LAYER,PLACE_000001,PLACE_000001,ARCHSITE_000001,Những lớp văn hóa nào được ghi nhận tại Khu khảo cổ 18 Hoàng Diệu?,"[""Nhà Lý"",""Nhà Trần"",""Nhà Lê sơ"",""Nhà Lê Trung hưng"",""Thời Tiền Thăng Long – Đại La""]","[""DYNASTY_000001"",""DYNASTY_000002"",""DYNASTY_000003"",""DYNASTY_000005"",""HPERIOD_000001""]","[[""Nhà Lý"",""Triều Lý""],[""Nhà Trần"",""Triều Trần""],[""Nhà Lê sơ"",""Triều Lê sơ"",""Nhà Hậu Lê""],[""Nhà Lê Trung hưng"",""Triều Lê Trung hưng""],[""Thời Tiền Thăng Long – Đại La"",""Thời Đại La"",""Thời An Nam đô hộ phủ""]]","[""ARCHSITE_000001""]",list,Dynasty|HistoricalPeriod,1,"[""HAS_CULTURAL_LAYER""]","[""EDGE_000050"",""EDGE_000051"",""EDGE_000052"",""EDGE_000053"",""EDGE_000049""]","[""EVD_000015"",""EVD_000016"",""EVD_000014""]","[""SRC_000009"",""SRC_000010"",""SRC_000011""]",T_LS_HAS_CULTURAL_LAYER,FACT_HNQ_LS_PLACE_000001_ARCHSITE_000001_HAS_CULTURAL_LAYER,template,easy,approved,
HNQ_LS_PLACE_000001_ARCH_000004_ASSOCIATED_WITH_DYNASTY,HNQ_LS_PLACE_000001_ARCH_000004_ASSOCIATED_WITH_DYNASTY,PLACE_000001,PLACE_000001,ARCH_000004,Điện Kính Thiên được ghi nhận là gắn với những triều đại nào?,"[""Nhà Lê sơ"",""Nhà Lê Trung hưng""]","[""DYNASTY_000003"",""DYNASTY_000005""]","[[""Nhà Lê sơ"",""Triều Lê sơ"",""Nhà Hậu Lê""],[""Nhà Lê Trung hưng"",""Triều Lê Trung hưng""]]","[""ARCH_000004""]",list,Dynasty,1,"[""ASSOCIATED_WITH_DYNASTY""]","[""EDGE_000065"",""EDGE_000066""]","[""EVD_000009"",""EVD_000010""]","[""SRC_000006""]",T_LS_ASSOCIATED_WITH_DYNASTY,FACT_HNQ_LS_PLACE_000001_ARCH_000004_ASSOCIATED_WITH_DYNASTY,template,easy,approved,
HNQ_LS_PLACE_000001_ARCH_000004_USED_FOR,HNQ_LS_PLACE_000001_ARCH_000004_USED_FOR,PLACE_000001,PLACE_000001,ARCH_000004,Điện Kính Thiên được ghi nhận là được sử dụng cho những mục đích nào?,"[""Thiết triều"",""Cử hành nghi lễ quốc gia"",""Đón tiếp sứ thần""]","[""ACTIVITY_000001"",""ACTIVITY_000002"",""ACTIVITY_000003""]","[[""Thiết triều"",""Thiết đại triều""],[""Cử hành nghi lễ quốc gia"",""Nghi lễ triều đình""],[""Đón tiếp sứ thần"",""Tiếp sứ thần""]]","[""ARCH_000004""]",list,Activity,1,"[""USED_FOR""]","[""EDGE_000069"",""EDGE_000070"",""EDGE_000071""]","[""EVD_000008"",""EVD_000010""]","[""SRC_000006""]",T_LS_USED_FOR,FACT_HNQ_LS_PLACE_000001_ARCH_000004_USED_FOR,template,easy,approved,
HNQ_LS_PLACE_000001_ARCH_000005_ASSOCIATED_WITH_PERSON,HNQ_LS_PLACE_000001_ARCH_000005_ASSOCIATED_WITH_PERSON,PLACE_000001,PLACE_000001,ARCH_000005,Những nhân vật nào được ghi nhận là có liên hệ với Nhà D67?,"[""Võ Nguyên Giáp"",""Văn Tiến Dũng""]","[""PERSON_000006"",""PERSON_000007""]","[[""Võ Nguyên Giáp"",""Đại tướng Võ Nguyên Giáp""],[""Văn Tiến Dũng"",""Đại tướng Văn Tiến Dũng""]]","[""ARCH_000005""]",list,Person,1,"[""ASSOCIATED_WITH_PERSON""]","[""EDGE_000105"",""EDGE_000106""]","[""EVD_000018""]","[""SRC_000012""]",T_LS_ASSOCIATED_WITH_PERSON,FACT_HNQ_LS_PLACE_000001_ARCH_000005_ASSOCIATED_WITH_PERSON,template,easy,approved,
HNQ_LS_PLACE_000001_HOBJ_000003_ASSOCIATED_WITH_DYNASTY,HNQ_LS_PLACE_000001_HOBJ_000003_ASSOCIATED_WITH_DYNASTY,PLACE_000001,PLACE_000001,HOBJ_000003,Nhóm di vật thời Lý – Trần tại 18 Hoàng Diệu được ghi nhận là gắn với những triều đại nào?,"[""Nhà Lý"",""Nhà Trần""]","[""DYNASTY_000001"",""DYNASTY_000002""]","[[""Nhà Lý"",""Triều Lý""],[""Nhà Trần"",""Triều Trần""]]","[""HOBJ_000003""]",list,Dynasty,1,"[""ASSOCIATED_WITH_DYNASTY""]","[""EDGE_000058"",""EDGE_000059""]","[""EVD_000015""]","[""SRC_000010""]",T_LS_ASSOCIATED_WITH_DYNASTY,FACT_HNQ_LS_PLACE_000001_HOBJ_000003_ASSOCIATED_WITH_DYNASTY,template,easy,approved,
HNQ_LS_PLACE_000001_HOBJ_000004_ASSOCIATED_WITH_DYNASTY,HNQ_LS_PLACE_000001_HOBJ_000004_ASSOCIATED_WITH_DYNASTY,PLACE_000001,PLACE_000001,HOBJ_000004,Nhóm di vật thời Lê tại 18 Hoàng Diệu được ghi nhận là gắn với những triều đại nào?,"[""Nhà Lê sơ"",""Nhà Lê Trung hưng""]","[""DYNASTY_000003"",""DYNASTY_000005""]","[[""Nhà Lê sơ"",""Triều Lê sơ"",""Nhà Hậu Lê""],[""Nhà Lê Trung hưng"",""Triều Lê Trung hưng""]]","[""HOBJ_000004""]",list,Dynasty,1,"[""ASSOCIATED_WITH_DYNASTY""]","[""EDGE_000060"",""EDGE_000061""]","[""EVD_000016""]","[""SRC_000011""]",T_LS_ASSOCIATED_WITH_DYNASTY,FACT_HNQ_LS_PLACE_000001_HOBJ_000004_ASSOCIATED_WITH_DYNASTY,template,easy,approved,
HNQ_LS_PLACE_000001_PLACE_000001_ASSOCIATED_WITH_DYNASTY,HNQ_LS_PLACE_000001_PLACE_000001_ASSOCIATED_WITH_DYNASTY,PLACE_000001,PLACE_000001,PLACE_000001,Hoàng thành Thăng Long được ghi nhận là gắn với những triều đại nào?,"[""Nhà Lý"",""Nhà Trần"",""Nhà Lê sơ"",""Nhà Mạc"",""Nhà Lê Trung hưng"",""Nhà Nguyễn""]","[""DYNASTY_000001"",""DYNASTY_000002"",""DYNASTY_000003"",""DYNASTY_000004"",""DYNASTY_000005"",""DYNASTY_000006""]","[[""Nhà Lý"",""Triều Lý""],[""Nhà Trần"",""Triều Trần""],[""Nhà Lê sơ"",""Triều Lê sơ"",""Nhà Hậu Lê""],[""Nhà Mạc"",""Triều Mạc""],[""Nhà Lê Trung hưng"",""Triều Lê Trung hưng""],[""Nhà Nguyễn"",""Triều Nguyễn""]]","[""PLACE_000001""]",list,Dynasty,1,"[""ASSOCIATED_WITH_DYNASTY""]","[""EDGE_000032"",""EDGE_000033"",""EDGE_000034"",""EDGE_000035"",""EDGE_000036"",""EDGE_000037""]","[""EVD_000004"",""EVD_000005"",""EVD_000026""]","[""SRC_000004"",""SRC_000005"",""SRC_000018""]",T_LS_ASSOCIATED_WITH_DYNASTY,FACT_HNQ_LS_PLACE_000001_PLACE_000001_ASSOCIATED_WITH_DYNASTY,template,easy,approved,
HNQ_LS_PLACE_000001_PLACE_000001_HAS_ACTIVITY,HNQ_LS_PLACE_000001_PLACE_000001_HAS_ACTIVITY,PLACE_000001,PLACE_000001,PLACE_000001,"Theo dữ liệu HanoiQA, những hoạt động nào được ghi nhận tại Hoàng thành Thăng Long?","[""Tham quan khảo cổ"",""Xem trưng bày hiện vật"",""Tour đêm Giải mã Hoàng thành Thăng Long"",""Dâng hương tưởng niệm các bậc tiên đế""]","[""ACTIVITY_000004"",""ACTIVITY_000005"",""ACTIVITY_000006"",""ACTIVITY_000007""]","[[""Tham quan khảo cổ"",""Tìm hiểu khảo cổ""],[""Xem trưng bày hiện vật"",""Tham quan nhà trưng bày""],[""Tour đêm Giải mã Hoàng thành Thăng Long"",""Tour đêm Giải mã Hoàng thành""],[""Dâng hương tưởng niệm các bậc tiên đế"",""Dâng hương tại Điện Kính Thiên""]]","[""PLACE_000001""]",list,Activity,1,"[""HAS_ACTIVITY""]","[""EDGE_000113"",""EDGE_000114"",""EDGE_000115"",""EDGE_000116""]","[""EVD_000021"",""EVD_000022""]","[""SRC_000014"",""SRC_000015""]",T_LS_HAS_ACTIVITY,FACT_HNQ_LS_PLACE_000001_PLACE_000001_HAS_ACTIVITY,template,easy,approved,
HNQ_LS_PLACE_000001_PLACE_000001_HAS_CATEGORY,HNQ_LS_PLACE_000001_PLACE_000001_HAS_CATEGORY,PLACE_000001,PLACE_000001,PLACE_000001,"Theo dữ liệu HanoiQA, Hoàng thành Thăng Long thuộc những loại hình nào?","[""Di tích lịch sử"",""Di tích khảo cổ""]","[""CATEGORY_000001"",""CATEGORY_000002""]","[[""Di tích lịch sử"",""Di tích lịch sử – văn hóa""],[""Di tích khảo cổ"",""Điểm khảo cổ""]]","[""PLACE_000001""]",list,TourismCategory,1,"[""HAS_CATEGORY""]","[""EDGE_000004"",""EDGE_000005""]","[""EVD_000001"",""EVD_000005"",""EVD_000025""]","[""SRC_000001"",""SRC_000005"",""SRC_000018""]",T_LS_HAS_CATEGORY,FACT_HNQ_LS_PLACE_000001_PLACE_000001_HAS_CATEGORY,template,easy,approved,
